Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
14-05-2007,62.60082842,51.38798325,13.79681099,69.95502294,54.83858297,53.03980695,20.91714902,18.40601354,30.5745949,,58.52513434,196.1467442,28.84137223,78.82225221,15.42989468,43.96737372,38.93696964,35.22211935,33.55787106,23.49831811,11.26465574,16.80927851,43.00175054,42.02152826,51.89461825,46.09900647,21.74382777,,36.11434606,35.27290227
15-05-2007,63.58968979,51.88194016,13.56467737,70.5382307,54.63015323,52.94798584,20.789848,18.35702415,30.54060425,,58.43869721,194.5857567,28.31644594,78.26974234,15.35316374,43.41260251,39.08721841,35.66735253,33.90582134,23.52108045,11.20286739,16.72902856,43.24560363,41.79745328,52.08470842,45.96811776,22.23515465,,35.94826839,35.46429943
16-05-2007,63.82583579,52.6722712,13.54196865,71.28593295,54.58702983,53.32838757,21.06831898,18.45500293,30.60008789,,58.6691962,196.9532543,28.36819924,79.0462427,15.47174792,44.27636021,39.80090009,36.15432634,33.950926,23.65048445,11.29022333,16.86483617,44.11650752,41.99912076,52.2709968,46.94542018,22.33969228,,35.78219071,36.1720702
17-05-2007,64.31560502,52.32650137,13.80690375,72.37010122,53.78924704,53.81060884,20.9091927,18.26604385,30.58309257,,58.92130448,197.1874025,28.31644594,78.62812712,15.50662562,44.05866518,39.48537766,36.35607262,33.80272496,23.58197645,11.2817008,16.88952846,44.15134367,41.81239161,52.95033656,46.81453147,22.02607938,,35.7291014,36.22000138
18-05-2007,64.48628218,52.65580597,13.88007631,72.25046886,53.73893641,54.72881098,20.85349851,18.41651126,30.60858556,,59.97295612,199.7543596,28.74525896,80.6291088,15.834476,44.53618976,39.47035279,36.40477,34.31176332,23.46779645,11.34561979,16.93891305,44.22798321,42.04393576,52.812942,46.657465,22.26128905,,35.85044838,36.53954264
21-05-2007,64.60501411,52.91101704,14.12734907,72.45234847,53.79643427,54.71559944,21.00466847,18.16456583,30.96548744,,60.2106582,198.7917507,28.56042577,79.91980559,15.78564722,44.60641397,39.48537766,36.36302939,34.6597136,23.63526045,11.65030028,16.9265669,44.08167136,41.74516912,52.60685016,46.68364275,22.23515465,,35.35747628,36.04425369
22-05-2007,65.13930782,52.91101704,14.32415801,72.13831352,54.27079161,54.28622433,20.98079953,18.01409842,30.82102716,,59.62000454,200.0752292,28.48649249,79.66594971,16.03676666,44.64854849,39.28254182,36.52303507,34.89168045,23.36122845,11.74617876,16.89570154,43.89355612,41.56590913,52.82820806,47.02395341,22.27174282,,35.29680279,35.76465509
23-05-2007,65.25803975,52.68050382,14.24215428,71.45790447,54.64452769,53.77097421,20.66254698,17.96160979,30.9994781,,59.7784726,198.1933721,28.67132569,78.82971856,15.81354938,44.81006416,39.05716866,35.87605559,35.02055092,23.27749645,11.68012914,16.87718232,43.96322843,41.5509708,52.55341895,47.05885707,22.30310411,,35.13753488,35.70074684
24-05-2007,64.67180082,52.70520166,13.96460322,72.84115364,54.21329375,52.82634899,20.20903709,17.93011661,30.45562761,,59.26705296,195.7131365,28.79701226,77.61270358,15.32526158,44.86975473,38.75667111,35.45169271,34.63393951,22.96540444,11.60555699,16.84014388,43.80298212,40.89368419,52.10307011,47.30318268,22.23515465,,35.38022884,35.62086153
25-05-2007,64.82021574,52.38412968,14.33425077,73.46174651,54.41453626,53.5926184,20.30451285,18.15756735,30.61708322,,60.15303346,195.5830543,28.37559257,78.53106458,15.45779684,44.66477318,38.79423331,35.4099521,34.60172189,23.20137644,11.56507497,16.99447071,43.8656872,40.7592392,52.37785923,47.47770097,22.21424712,,35.57741768,36.0202881
